list_name,topic,line_no,md_title,source_note,paper_url,arxiv_id,occurrences_in_markdown,found_in_arxiv_api,arxiv_id_versioned,arxiv_title,arxiv_abstract,authors,published,updated,primary_category,categories,comment,doi,journal_ref,arxiv_url,pdf_url
The NLP,Computational Social Science and Social Media,150,When do Word Embeddings Accurately Reflect Surveys on our Beliefs About People?.,ACL 2020,https://arxiv.org/abs/2004.12043,2004.12043,1,True,2004.12043v1,When do Word Embeddings Accurately Reflect Surveys on our Beliefs About People?,"Social biases are encoded in word embeddings. This presents a unique opportunity to study society historically and at scale, and a unique danger when embeddings are used in downstream applications. Here, we investigate the extent to which publicly-available word embeddings accurately reflect beliefs about certain kinds of people as measured via traditional survey methods. We find that biases found in word embeddings do, on average, closely mirror survey data across seventeen dimensions of social meaning. However, we also find that biases in embeddings are much more reflective of survey data for some dimensions of meaning (e.g. gender) than others (e.g. race), and that we can be highly confident that embedding-based measures reflect survey data only for the most salient biases.",Kenneth Joseph | Jonathan H. Morgan,2020-04-25T02:42:12Z,2020-04-25T02:42:12Z,cs.CL,cs.CL,Accepted at ACL2020,,,http://arxiv.org/abs/2004.12043v1,https://arxiv.org/pdf/2004.12043v1
The NLP,Dialogue and Interactive Systems,156,A Survey of Arabic Dialogues Understanding for Spontaneous Dialogues and Instant Message.,arXiv 2015,https://arxiv.org/abs/1505.03084,1505.03084,1,True,1505.03084v1,A Survey of Arabic Dialogues Understanding for Spontaneous Dialogues and Instant Message,"Building dialogues systems interaction has recently gained considerable attention, but most of the resources and systems built so far are tailored to English and other Indo-European languages. The need for designing systems for other languages is increasing such as Arabic language. For this reasons, there are more interest for Arabic dialogue acts classification task because it a key player in Arabic language understanding to building this systems. This paper surveys different techniques for dialogue acts classification for Arabic. We describe the main existing techniques for utterances segmentations and classification, annotation schemas, and test corpora for Arabic dialogues understanding that have introduced in the literature",AbdelRahim A. Elmadany | Sherif M. Abdou | Mervat Gheith,2015-05-12T16:38:39Z,2015-05-12T16:38:39Z,cs.CL,cs.CL,,10.5121/ijnlc.2015.4206,"International Journal on Natural Language Computing (IJNLC) Vol. 4, No.2,April 2015",http://arxiv.org/abs/1505.03084v1,https://arxiv.org/pdf/1505.03084v1
The NLP,Dialogue and Interactive Systems,164,A Survey of Document Grounded Dialogue Systems (DGDS).,arXiv 2020,https://arxiv.org/abs/2004.13818,2004.13818,1,True,2004.13818v1,A Survey of Document Grounded Dialogue Systems (DGDS),"Dialogue system (DS) attracts great attention from industry and academia because of its wide application prospects. Researchers usually divide the DS according to the function. However, many conversations require the DS to switch between different functions. For example, movie discussion can change from chit-chat to QA, the conversational recommendation can transform from chit-chat to recommendation, etc. Therefore, classification according to functions may not be enough to help us appreciate the current development trend. We classify the DS based on background knowledge. Specifically, study the latest DS based on the unstructured document(s). We define Document Grounded Dialogue System (DGDS) as the DS that the dialogues are centering on the given document(s). The DGDS can be used in scenarios such as talking over merchandise against product Manual, commenting on news reports, etc. We believe that extracting unstructured document(s) information is the future trend of the DS because a great amount of human knowledge lies in these document(s). The research of the DGDS not only possesses a broad application prospect but also facilitates AI to better understand human knowledge and natural language. We analyze the classification, architecture, datasets, models, and future development trends of the DGDS, hoping to help researchers in this field.",Longxuan Ma | Wei-Nan Zhang | Mingda Li | Ting Liu,2020-04-17T03:22:28Z,2020-04-17T03:22:28Z,cs.CL,cs.AI cs.CL cs.LG stat.ML,"30 pages, 4 figures, 13 tables",,,http://arxiv.org/abs/2004.13818v1,https://arxiv.org/pdf/2004.13818v1
The NLP,Dialogue and Interactive Systems,168,A Survey of Intent Classification and Slot-Filling Datasets for Task-Oriented Dialog.,arXiv 2022,https://arxiv.org/pdf/2207.13211.pdf,2207.13211,1,True,2207.13211v1,A Survey of Intent Classification and Slot-Filling Datasets for Task-Oriented Dialog,"Interest in dialog systems has grown substantially in the past decade. By extension, so too has interest in developing and improving intent classification and slot-filling models, which are two components that are commonly used in task-oriented dialog systems. Moreover, good evaluation benchmarks are important in helping to compare and analyze systems that incorporate such models. Unfortunately, much of the literature in the field is limited to analysis of relatively few benchmark datasets. In an effort to promote more robust analyses of task-oriented dialog systems, we have conducted a survey of publicly available datasets for the tasks of intent classification and slot-filling. We catalog the important characteristics of each dataset, and offer discussion on the applicability, strengths, and weaknesses of each. Our goal is that this survey aids in increasing the accessibility of these datasets, which we hope will enable their use in future evaluations of intent classification and slot-filling models for task-oriented dialog systems.",Stefan Larson | Kevin Leach,2022-07-26T23:20:03Z,2022-07-26T23:20:03Z,cs.CL,cs.CL,,,,http://arxiv.org/abs/2207.13211v1,https://arxiv.org/pdf/2207.13211v1
The NLP,Dialogue and Interactive Systems,172,"A Survey of Natural Language Generation Techniques with a Focus on Dialogue Systems - Past, Present and Future Directions.",arXiv 2019,https://arxiv.org/abs/1906.00500,1906.00500,1,True,1906.00500v1,"A Survey of Natural Language Generation Techniques with a Focus on Dialogue Systems - Past, Present and Future Directions","One of the hardest problems in the area of Natural Language Processing and Artificial Intelligence is automatically generating language that is coherent and understandable to humans. Teaching machines how to converse as humans do falls under the broad umbrella of Natural Language Generation. Recent years have seen unprecedented growth in the number of research articles published on this subject in conferences and journals both by academic and industry researchers. There have also been several workshops organized alongside top-tier NLP conferences dedicated specifically to this problem. All this activity makes it hard to clearly define the state of the field and reason about its future directions. In this work, we provide an overview of this important and thriving area, covering traditional approaches, statistical approaches and also approaches that use deep neural networks. We provide a comprehensive review towards building open domain dialogue systems, an important application of natural language generation. We find that, predominantly, the approaches for building dialogue systems use seq2seq or language models architecture. Notably, we identify three important areas of further research towards building more effective dialogue systems: 1) incorporating larger context, including conversation context and world knowledge; 2) adding personae or personality in the NLG system; and 3) overcoming dull and generic responses that affect the quality of system-produced responses. We provide pointers on how to tackle these open problems through the use of cognitive architectures that mimic human language understanding and generation capabilities.",Sashank Santhanam | Samira Shaikh,2019-06-02T22:55:14Z,2019-06-02T22:55:14Z,cs.CL,cs.CL,,,,http://arxiv.org/abs/1906.00500v1,https://arxiv.org/pdf/1906.00500v1
The NLP,Dialogue and Interactive Systems,176,A survey of neural models for the automatic analysis of conversation: Towards a better integration of the social sciences.,arXiv 2022,https://arxiv.org/pdf/2203.16891.pdf,2203.16891,1,True,2203.16891v1,A survey of neural models for the automatic analysis of conversation: Towards a better integration of the social sciences,"Some exciting new approaches to neural architectures for the analysis of conversation have been introduced over the past couple of years. These include neural architectures for detecting emotion, dialogue acts, and sentiment polarity. They take advantage of some of the key attributes of contemporary machine learning, such as recurrent neural networks with attention mechanisms and transformer-based approaches. However, while the architectures themselves are extremely promising, the phenomena they have been applied to to date are but a small part of what makes conversation engaging. In this paper we survey these neural architectures and what they have been applied to. On the basis of the social science literature, we then describe what we believe to be the most fundamental and definitional feature of conversation, which is its co-construction over time by two or more interlocutors. We discuss how neural architectures of the sort surveyed could profitably be applied to these more fundamental aspects of conversation, and what this buys us in terms of a better analysis of conversation and even, in the longer term, a better way of generating conversation for a conversational system.",Chloé Clavel | Matthieu Labeau | Justine Cassell,2022-03-31T08:59:54Z,2022-03-31T08:59:54Z,cs.CL,cs.AI cs.CL cs.HC cs.LG,,,,http://arxiv.org/abs/2203.16891v1,https://arxiv.org/pdf/2203.16891v1
The NLP,Dialogue and Interactive Systems,180,A Survey on Dialog Management: Recent Advances and Challenges.,arXiv 2020,https://arxiv.org/abs/2005.02233,2005.02233,1,True,2005.02233v3,A Survey on Dialog Management: Recent Advances and Challenges,"Dialog management (DM) is a crucial component in a task-oriented dialog system. Given the dialog history, DM predicts the dialog state and decides the next action that the dialog agent should take. Recently, dialog policy learning has been widely formulated as a Reinforcement Learning (RL) problem, and more works focus on the applicability of DM. In this paper, we survey recent advances and challenges within three critical topics for DM: (1) improving model scalability to facilitate dialog system modeling in new scenarios, (2) dealing with the data scarcity problem for dialog policy learning, and (3) enhancing the training efficiency to achieve better task-completion performance . We believe that this survey can shed a light on future research in dialog management.",Yinpei Dai | Huihua Yu | Yixuan Jiang | Chengguang Tang | Yongbin Li | Jian Sun,2020-05-05T14:31:24Z,2021-10-25T11:12:37Z,cs.CL,cs.CL,,,,http://arxiv.org/abs/2005.02233v3,https://arxiv.org/pdf/2005.02233v3
The NLP,Dialogue and Interactive Systems,184,A Survey on Dialogue Systems: Recent Advances and New Frontiers.,SIGKDD Explor. 2017,https://arxiv.org/abs/1711.01731,1711.01731,1,True,1711.01731v3,A Survey on Dialogue Systems: Recent Advances and New Frontiers,"Dialogue systems have attracted more and more attention. Recent advances on dialogue systems are overwhelmingly contributed by deep learning techniques, which have been employed to enhance a wide range of big data applications such as computer vision, natural language processing, and recommender systems. For dialogue systems, deep learning can leverage a massive amount of data to learn meaningful feature representations and response generation strategies, while requiring a minimum amount of hand-crafting. In this article, we give an overview to these recent advances on dialogue systems from various perspectives and discuss some possible research directions. In particular, we generally divide existing dialogue systems into task-oriented and non-task-oriented models, then detail how deep learning techniques help them with representative algorithms and finally discuss some appealing research directions that can bring the dialogue system research into a new frontier.",Hongshen Chen | Xiaorui Liu | Dawei Yin | Jiliang Tang,2017-11-06T05:20:54Z,2018-01-11T18:44:11Z,cs.CL,cs.CL,13 pages. arXiv admin note: text overlap with arXiv:1703.01008 by other authors,10.1145/3166054.3166058,,http://arxiv.org/abs/1711.01731v3,https://arxiv.org/pdf/1711.01731v3
The NLP,Dialogue and Interactive Systems,188,Advances in Multi-turn Dialogue Comprehension: A Survey.,arXiv 2021,https://arxiv.org/abs/2103.03125,2103.03125,1,True,2103.03125v2,Advances in Multi-turn Dialogue Comprehension: A Survey,"Training machines to understand natural language and interact with humans is an elusive and essential task of artificial intelligence. A diversity of dialogue systems has been designed with the rapid development of deep learning techniques, especially the recent pre-trained language models (PrLMs). Among these studies, the fundamental yet challenging type of task is dialogue comprehension whose role is to teach the machines to read and comprehend the dialogue context before responding. In this paper, we review the previous methods from the technical perspective of dialogue modeling for the dialogue comprehension task. We summarize the characteristics and challenges of dialogue comprehension in contrast to plain-text reading comprehension. Then, we discuss three typical patterns of dialogue modeling. In addition, we categorize dialogue-related pre-training techniques which are employed to enhance PrLMs in dialogue scenarios. Finally, we highlight the technical advances in recent years and point out the lessons from the empirical analysis and the prospects towards a new frontier of researches.",Zhuosheng Zhang | Hai Zhao,2021-03-04T15:50:17Z,2021-10-12T06:32:55Z,cs.CL,cs.AI cs.CL cs.HC,,,,http://arxiv.org/abs/2103.03125v2,https://arxiv.org/pdf/2103.03125v2
The NLP,Dialogue and Interactive Systems,192,Challenges in Building Intelligent Open-domain Dialog Systems.,ACM Trans. Inf. Syst. 2020,https://arxiv.org/abs/1905.05709,1905.05709,1,True,1905.05709v3,Challenges in Building Intelligent Open-domain Dialog Systems,"There is a resurgent interest in developing intelligent open-domain dialog systems due to the availability of large amounts of conversational data and the recent progress on neural approaches to conversational AI. Unlike traditional task-oriented bots, an open-domain dialog system aims to establish long-term connections with users by satisfying the human need for communication, affection, and social belonging. This paper reviews the recent works on neural approaches that are devoted to addressing three challenges in developing such systems: semantics, consistency, and interactiveness. Semantics requires a dialog system to not only understand the content of the dialog but also identify user's social needs during the conversation. Consistency requires the system to demonstrate a consistent personality to win users trust and gain their long-term confidence. Interactiveness refers to the system's ability to generate interpersonal responses to achieve particular social goals such as entertainment, conforming, and task completion. The works we select to present here is based on our unique views and are by no means complete. Nevertheless, we hope that the discussion will inspire new research in developing more intelligent dialog systems.",Minlie Huang | Xiaoyan Zhu | Jianfeng Gao,2019-05-13T02:46:28Z,2020-02-28T09:16:35Z,cs.CL,cs.AI cs.CL,,,,http://arxiv.org/abs/1905.05709v3,https://arxiv.org/pdf/1905.05709v3
The NLP,Dialogue and Interactive Systems,196,Conversational Agents: Theory and Applications.,arXiv 2022,https://arxiv.org/pdf/2202.03164.pdf,2202.03164,1,True,2202.03164v1,Conversational Agents: Theory and Applications,"In this chapter, we provide a review of conversational agents (CAs), discussing chatbots, intended for casual conversation with a user, as well as task-oriented agents that generally engage in discussions intended to reach one or several specific goals, often (but not always) within a specific domain. We also consider the concept of embodied conversational agents, briefly reviewing aspects such as character animation and speech processing. The many different approaches for representing dialogue in CAs are discussed in some detail, along with methods for evaluating such agents, emphasizing the important topics of accountability and interpretability. A brief historical overview is given, followed by an extensive overview of various applications, especially in the fields of health and education. We end the chapter by discussing benefits and potential risks regarding the societal impact of current and future CA technology.",Mattias Wahde | Marco Virgolin,2022-02-07T13:48:14Z,2022-02-07T13:48:14Z,cs.CL,cs.AI cs.CL,preprint of a chapter to appear in Handbook of Computer Learning and Intelligence - Volume 1,10.1142/9789811246050_0012,,http://arxiv.org/abs/2202.03164v1,https://arxiv.org/pdf/2202.03164v1
The NLP,Dialogue and Interactive Systems,200,Conversational Machine Comprehension: a Literature Review.,COLING 2020,https://arxiv.org/abs/2006.00671,2006.00671,1,True,2006.00671v2,Conversational Machine Comprehension: a Literature Review,"Conversational Machine Comprehension (CMC), a research track in conversational AI, expects the machine to understand an open-domain natural language text and thereafter engage in a multi-turn conversation to answer questions related to the text. While most of the research in Machine Reading Comprehension (MRC) revolves around single-turn question answering (QA), multi-turn CMC has recently gained prominence, thanks to the advancement in natural language understanding via neural language models such as BERT and the introduction of large-scale conversational datasets such as CoQA and QuAC. The rise in interest has, however, led to a flurry of concurrent publications, each with a different yet structurally similar modeling approach and an inconsistent view of the surrounding literature. With the volume of model submissions to conversational datasets increasing every year, there exists a need to consolidate the scattered knowledge in this domain to streamline future research. This literature review attempts at providing a holistic overview of CMC with an emphasis on the common trends across recently published models, specifically in their approach to tackling conversational history. The review synthesizes a generic framework for CMC models while highlighting the differences in recent approaches and intends to serve as a compendium of CMC for future researchers.",Somil Gupta | Bhanu Pratap Singh Rawat | Hong Yu,2020-06-01T02:20:08Z,2020-11-05T06:28:06Z,cs.CL,cs.CL,Accepted to COLING 2020,10.18653/v1/2020.coling-main.247,,http://arxiv.org/abs/2006.00671v2,https://arxiv.org/pdf/2006.00671v2
The NLP,Dialogue and Interactive Systems,204,How to Evaluate Your Dialogue Models: A Review of Approaches.,arXiv 2021,https://arxiv.org/pdf/2108.01369.pdf,2108.01369,1,True,2108.01369v1,How to Evaluate Your Dialogue Models: A Review of Approaches,"Evaluating the quality of a dialogue system is an understudied problem. The recent evolution of evaluation method motivated this survey, in which an explicit and comprehensive analysis of the existing methods is sought. We are first to divide the evaluation methods into three classes, i.e., automatic evaluation, human-involved evaluation and user simulator based evaluation. Then, each class is covered with main features and the related evaluation metrics. The existence of benchmarks, suitable for the evaluation of dialogue techniques are also discussed in detail. Finally, some open issues are pointed out to bring the evaluation method into a new frontier.",Xinmeng Li | Wansen Wu | Long Qin | Quanjun Yin,2021-08-03T08:52:33Z,2021-08-03T08:52:33Z,cs.CL,cs.CL,,,,http://arxiv.org/abs/2108.01369v1,https://arxiv.org/pdf/2108.01369v1
The NLP,Dialogue and Interactive Systems,208,Neural Approaches to Conversational AI.,ACL 2018,https://arxiv.org/pdf/1809.08267,1809.08267,1,True,1809.08267v3,Neural Approaches to Conversational AI,"The present paper surveys neural approaches to conversational AI that have been developed in the last few years. We group conversational systems into three categories: (1) question answering agents, (2) task-oriented dialogue agents, and (3) chatbots. For each category, we present a review of state-of-the-art neural approaches, draw the connection between them and traditional approaches, and discuss the progress that has been made and challenges still being faced, using specific systems and models as case studies.",Jianfeng Gao | Michel Galley | Lihong Li,2018-09-21T18:42:24Z,2019-09-10T04:56:51Z,cs.CL,cs.CL,Foundations and Trends in Information Retrieval (95 pages),,,http://arxiv.org/abs/1809.08267v3,https://arxiv.org/pdf/1809.08267v3
